Name;Fueltype;Technology;Set;Country;inst-cap;Duration;YearCommissioned;Retrofit;Latitude;Longitude;File;projectID;Type
Glanford brigg;Natural Gas;CCGT;PP;United Kingdom;150,0;0,0;1993,0;1993,0;53,622551;-0,701141;GOV;{u'OPSD': [u'OEU5141'], u'GEO': [u'GEO3328'], u'CARMA': [u'CARMA15219']};Gas
Gersteinwerk;Natural Gas;CCGT;PP;Germany;687,0;0,0;1973,0;1984,0;51,67245300000001;7,709947;;{u'OPSD': [u'BNA1039', u'BNA1040', u'BNA1045', u'BNA1046b', u'BNA1041', u'BNA1042'], u'GEO': [u'GEO44438'], u'CARMA': [u'CARMA14984']};Gas
Fiddler’s ferry;Hard Coal;Steam Turbine;PP;United Kingdom;1961,0;0,0;1971,0;1971,0;53,372319;-2,68695;GOV;{u'OPSD': [u'OEU5315'], u'GEO': [u'GEO3175'], u'CARMA': [u'CARMA13386']};Coal
Cottam;Hard Coal;Steam Turbine;PP;United Kingdom;2008,0;0,0;1969,0;1969,0;53,303711;-0,778882;GOV;{u'OPSD': [u'OEU5157'], u'GEO': [u'GEO2787'], u'CARMA': [u'CARMA9523']};Coal
Cowes;Oil;OCGT;PP;United Kingdom;140,0;0,0;1982,0;1982,0;50,746935;-1,286168;GOV;{u'OPSD': [u'OEU5218'], u'GEO': [u'GEO2807'], u'CARMA': [u'CARMA9578']};OilOther
Santurce;Natural Gas;CCGT;PP;Spain;396,4;0,0;2005,0;2005,0;43,33909600000001;-3,052938;SEDE;{u'GEO': [u'GEO43769'], u'ENTSOE': [u'18WSTC4-12345-0I'], u'OPSD': [u'OEU5074']};Gas
Vojany;Hard Coal;Steam Turbine;PP;Slovakia;440,0;0,0;1997,0;2001,0;48,55439000000001;21,97402;SEAS;{u'GEO': [u'GEO42632'], u'ENTSOE': [u'24WV--EVO------D'], u'OPSD': [u'OEU5582']};Coal
Niehl;Natural Gas;CCGT;PP;Germany;872,9;0,0;2005,0;2016,0;50,974908;6,987899499999999;;{u'GEO': [u'GEO44317'], u'ENTSOE': [u'11WD7BOLA--KWNIK'], u'OPSD': [u'BNA1818', u'BNA0545']};Gas
Ružín;Hydro;Pumped Storage;Store;Slovakia;60,0;0,0;1972,0;1974,0;48,86311;21,092659899999997;energy_storage_exchange, SEAS;{u'OPSD': [u'OEU5569', u'OEU5567', u'OEU5568'], u'ESE': [u'ESE72'], u'GEO': [u'GEO42646']};PumSt
Theiß;Natural Gas;OCGT;PP;Austria;800,0;0,0;2000,0;2000,0;48,394861;15,710147;https://www.evn.at/EVN-Group/Energie-Zukunft/Energie-aus-Niederosterreich/Gas-und-Kohle.aspx;{u'OPSD': [u'OEU5686'], u'ENTSOE': [u'14W-KW-THE-EVN-7'], u'CARMA': [u'CARMA45229']};Gas
Thyrow;Natural Gas;OCGT;PP;Germany;183,5;0,0;1987,0;1989,0;52,23015;13,30195;;{u'OPSD': [u'BNA0740', u'BNA0738', u'BNA0739', u'BNA0734', u'BNA0741'], u'ENTSOE': [u'11WD8THYR5G----F'], u'CARMA': [u'CARMA45355']};Gas
Tiefstack;Hard Coal;Steam Turbine;CHP;Germany;194,0;0,0;1993,0;1993,0;53,52616631;10,06317616;;{u'OPSD': [u'BNA0402'], u'ENTSOE': [u'11WD8TIEF5X----V'], u'CARMA': [u'CARMA45410']};Coal
Croix metz;Natural Gas;CCGT;PP;France;413,0;0,0;2012,0;2012,0;48,69336;5,9146800000000015;RTE;{u'GEO': [u'GEO45605'], u'ENTSOE': [u'17W100P100P0340L'], u'OPSD': [u'OEU98']};Gas
Vaires;Oil;NaN;PP;France;542,0;0,0;;;48,87349;2,65533;RTE;{u'OPSD': [u'OEU89', u'OEU91', u'OEU90'], u'ENTSOE': [u'17W100P100P02675', u'17W100P100P02691', u'17W100P100P02683'], u'CARMA': [u'CARMA47520']};OilOther
Velsen vn;Natural Gas;NaN;PP;Netherlands;834,0;0,0;;;52,47155;4,63473;Tennet_Q1;{u'OPSD': [u'OEU25', u'OEU26'], u'ENTSOE': [u'49W000000000046W'], u'CARMA': [u'CARMA47915', u'CARMA47916']};Gas
Arrighi;Oil;NaN;PP;France;254,0;0,0;;;48,79151;2,41593;RTE;{u'OPSD': [u'OEU80', u'OEU79'], u'ENTSOE': [u'17W100P100P0255C', u'17W100P100P0256A'], u'CARMA': [u'CARMA78400']};OilOther
Combigolfe;Natural Gas;CCGT;PP;France;425,0;0,0;2010,0;2010,0;43,41616;4,86974;RTE;{u'GEO': [u'GEO2746'], u'ENTSOE': [u'17W100P100P0337A'], u'OPSD': [u'OEU96']};Gas
Enecogen;Natural Gas;CCGT;PP;Netherlands;860,0;0,0;;;51,95783;4,09246;Tennet_Q4;{u'GEO': [u'GEO44502'], u'ENTSOE': [u'49W000000000058P'], u'OPSD': [u'OEU46']};Gas
