Country;Duration;File;Fueltype;Latitude;Longitude;Name;Prob;Retrofit;Set;Technology;Type;YearCommissioned;inst-cap;projectID;Year;year_mu;year_stdev
Poland;0,0;ENTSOE, GPI;Hard Coal;50,21356;19,2287;Jaworzno;;1999,0;PP;Steam Turbine;Coal;1997,0;1345,0;{u'GPD': [u'GPD12042', u'GPD12043'], u'GEO': [u'GEO40602', u'GEO40601'], u'ENTSOE': [u'19W0000000000628', u'19W0000000000636'], u'CARMA': [u'CARMA20139', u'CARMA20140'], u'OPSD': [u'OEU255', u'OEU250', u'OEU251', u'OEU252', u'OEU254', u'OEU253']};1999,0;;
Poland;0,0;ENTSOE, GPI;Hard Coal;51,66456;21,463788;Kozienice;;;PP;Steam Turbine;Coal;2017,0;4016,0;{u'GPD': [u'GPD12049', u'GPD12048'], u'GEO': [u'GEO40653'], u'ENTSOE': [u'19W000000000104I', u'19W000000000095U'], u'CARMA': [u'CARMA22994'], u'OPSD': [u'OEU261', u'OEU259', u'OEU267', u'OEU260', u'OEU262', u'OEU266', u'OEU263', u'OEU264', u'OEU258', u'OEU265', u'OEU268']};2017,0;;
Spain;0,0;Red Eléctrica de España, SEDE;Hard Coal;43,308109;-5,700787999999998;Lada;;2007,0;PP;Steam Turbine;Coal;1981,0;347,7;{u'GPD': [u'GPD13223'], u'GEO': [u'GEO43832'], u'ENTSOE': [u'18WLAD4-12345-0U'], u'CARMA': [u'CARMA24008'], u'OPSD': [u'OEU4559']};2007,0;;
Poland;0,0;ENTSOE, GPI;Hard Coal;50,34965;19,14101;Łagisza;;;PP;Steam Turbine;Coal;;700,0;{u'GPD': [u'GPD12074'], u'GEO': [u'GEO40598', u'GEO40599'], u'ENTSOE': [u'19W000000000111L'], u'CARMA': [u'CARMA24056'], u'OPSD': [u'OEU270', u'OEU269', u'OEU271']};1975,0;1975,0;5,0
Poland;0,0;ENTSOE, GPI;Hard Coal;50,13236;18,84039;Łaziska;;;PP;Steam Turbine;Coal;;1155,0;{u'GPD': [u'GPD12076', u'GPD12075'], u'GEO': [u'GEO40600'], u'ENTSOE': [u'19W0000000001195', u'19W000000000116B'], u'CARMA': [u'CARMA24720'], u'OPSD': [u'OEU273', u'OEU276', u'OEU275', u'OEU272', u'OEU274', u'OEU277']};1975,0;1975,0;5,0
Switzerland;0,0;Swiss Federal Office of Energy, Schweizerische Eidgenossenschaft;Nuclear;45,96917;7,269610000000001;Mühleberg;;1972,0;PP;Steam Turbine;Nuclear;1972,0;390,0;{u'GPD': [u'GPD14052'], u'GEO': [u'GEO4396'], u'ENTSOE': [u'12W-0000000057-Z'], u'CARMA': [u'CARMA29733'], u'OPSD': [u'OEU1014']};1972,0;;
Poland;0,0;ENTSOE, GPI;Hard Coal;50,75066;17,88729;Opole;;;PP;Steam Turbine;Coal;;1532,0;{u'GPD': [u'GPD12053'], u'GEO': [u'GEO42462'], u'ENTSOE': [u'19W0000000001292'], u'CARMA': [u'CARMA32668', u'CARMA32670'], u'OPSD': [u'OEU278', u'OEU279', u'OEU281', u'OEU280']};1977,0;1975,0;5,0
Poland;0,0;ENTSOE, GPI;Hard Coal;53,10461999999999;21,613120000000002;Ostrołęka;;2000,0;PP;Steam Turbine;Coal;2000,0;681,0;{u'GPD': [u'GPD12054'], u'GEO': [u'GEO40654'], u'ENTSOE': [u'19W0000000001349'], u'CARMA': [u'CARMA33009'], u'OPSD': [u'OEU283', u'OEU284', u'OEU282']};2000,0;;
Poland;0,0;ENTSOE, GPI;Lignite;52,30239999999999;18,23807;Pątnów;;;PP;Steam Turbine;Lignite;;1718,0;{u'GPD': [u'GPD12061', u'GPD12060'], u'GEO': [u'GEO40613'], u'ENTSOE': [u'19W000000000142A', u'19W000000000149X'], u'CARMA': [u'CARMA33864'], u'OPSD': [u'OEU289', u'OEU291', u'OEU290', u'OEU286', u'OEU287', u'OEU288', u'OEU285']};1983,0;1975,0;5,0
Poland;0,0;ENTSOE, GPI;Hard Coal;50,20761;19,46145;Siersza;;1993,0;PP;Steam Turbine;Coal;1993,0;557,0;{u'GPD': [u'GPD12063'], u'GEO': [u'GEO42463'], u'ENTSOE': [u'19W0000000002361'], u'CARMA': [u'CARMA41552'], u'OPSD': [u'OEU314', u'OEU311', u'OEU312', u'OEU313']};1993,0;;
Denmark;0,0;ENTSOE, Energinet DK;Hard Coal;55,68583;12,62621;Amager;;2004,0;PP;Steam Turbine;Coal;1989,0;265,0;{u'GPD': [u'GPD5415'], u'GEO': [u'GEO44225'], u'ENTSOE': [u'45V000000000012C'], u'CARMA': [u'CARMA1265'], u'OPSD': [u'OEU5851']};2004,0;;
United Kingdom;6,0;energy_storage_exchange, Department for Business Energy & Industrial Strategy, GOV;Hydro;57,3228575;-4,4243817000000005;Foyers;;1974,0;Store;Pumped Storage;PumSt;1968,0;305,0;{u'GPD': [u'GPD15449'], u'OPSD': [u'OEU5248', u'OEU5250'], u'ESE': [u'ESE20'], u'GEO': [u'GEO3219'], u'CARMA': [u'CARMA13925', u'CARMA13926']};1974,0;;
Austria;0,0;energy_storage_exchange, Vorarlberger Illwerke AG;Hydro;47,0645191;9,9319848;Obervermuntwerk;;2018,0;Store;Pumped Storage;PumSt;1930,0;360,0;{u'GPD': [u'GPD819'], u'OPSD': [u'BNA0779', u'BNA0780'], u'ESE': [u'ESE356'], u'GEO': [u'GEO45209'], u'CARMA': [u'CARMA32103', u'CARMA47999']};2018,0;;
Austria;0,0;energy_storage_exchange, Vorarlberger Illwerke AG;Hydro;47,08514;9,88443;Rodundwerk;;2012,0;Store;Pumped Storage;PumSt;1943,0;198,0;{u'GPD': [u'GPD799', u'GPD800'], u'OPSD': [u'BNA0974', u'BNA0975'], u'ESE': [u'ESE151'], u'GEO': [u'GEO45207', u'GEO45206'], u'CARMA': [u'CARMA37810']};2012,0;;
Spain;0,0;energy_storage_exchange, Red Eléctrica de España, SEDE;Hydro;41,268575;-6,4676609;Villarino_almendra_reversible;;1977,0;Store;Pumped Storage;PumSt;1970,0;810,0;{u'GPD': [u'GPD13741'], u'OPSD': [u'OEU2454', u'OEU4538', u'OEU4535', u'OEU4540', u'OEU4537', u'OEU4539', u'OEU4536'], u'ESE': [u'ESE156'], u'GEO': [u'GEO43825'], u'CARMA': [u'CARMA48280']};1977,0;;
